,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth
0,500,2,1,0.5,-1
1,500,2,1,0.5,-1
2,200,2,1,0.5,-1
3,500,2,1,0.5,-1
4,500,5,1,1.0,-1
5,100,2,2,0.8,-1
6,500,2,1,0.5,-1
7,100,5,2,1.0,-1
8,500,2,1,0.5,-1
9,200,2,1,0.5,-1
10,200,2,1,0.5,-1
11,500,5,1,0.8,-1
12,500,2,2,1.0,-1
13,100,2,1,0.5,-1
14,200,5,1,1.0,-1
15,500,2,1,0.5,-1
16,500,2,1,0.5,-1
17,500,2,1,0.5,-1
18,500,2,1,0.5,-1
19,200,2,2,1.0,-1
20,500,2,1,0.5,-1
21,200,5,1,1.0,-1
22,500,2,1,0.5,-1
23,200,2,1,0.5,-1
24,500,2,1,0.5,-1
25,500,2,1,0.5,-1
26,200,2,1,0.5,-1
27,200,2,1,0.5,-1
28,500,2,1,0.5,-1
29,500,2,1,0.5,-1
30,100,2,2,1.0,10
31,500,2,1,0.5,-1
32,200,2,1,0.5,-1
33,100,2,1,0.5,-1
34,100,5,1,0.8,-1
35,500,2,1,0.5,-1
36,200,2,1,0.5,-1
37,500,5,2,1.0,-1
38,500,2,1,0.5,-1
39,100,2,1,0.5,-1
40,500,2,1,0.5,-1
41,500,5,1,1.0,-1
42,100,2,2,1.0,-1
43,500,2,1,0.5,-1
44,500,2,1,0.5,-1
45,500,5,1,1.0,-1
46,200,2,1,0.5,-1
47,100,2,2,1.0,-1
48,200,2,1,0.5,-1
49,500,2,1,0.5,-1
